timestamp,open,high,low,close,volume
1723593600000,60559,61950,58399,58648,8900416789
1723680000000,58648,59834,56052,57516,10853105640
1723766400000,57516,59800,57072,58850,7842594180
1723852800000,58850,59699,58765,59475,2296503550
1723939200000,59475,60288,58400,58406,4267093350
1724025600000,58406,59600,57753,59404,6261298418
1724112000000,59404,61456,58400,58978,9569806188
1724198400000,58978,61835,58728,61121,8555407658
1724284800000,61121,61386,59624,60355,6311843428
1724371200000,60355,65042,60316,64005,10918038435
1724457600000,64005,64485,63520,64130,3584856045
1724544000000,64130,64993,63750,64181,3314046010
1724630400000,64181,64448,62777,62812,6241409707
1724716800000,62812,63203,57870,59367,11484232020
1724803200000,59367,60245,57800,59013,10058432076
1724889600000,59013,61149,58618,59316,7466442786
1724976000000,59316,59922,57666,59101,7898103348
1725062400000,59101,59438,58706,58944,1989339660
1725148800000,58944,59053,56913,57266,6574260096
1725235200000,57266,59423,57072,59117,5772756396
1725321600000,59117,59805,57357,57450,6327765446
1725408000000,57450,58500,55501,57938,9199468500
1725494400000,57938,58300,55510,56150,8664338210
1725580800000,56150,56998,52500,53934,14471034150
1725667200000,53934,54828,53733,54140,3431658618
1725753600000,54140,55300,53608,54850,4368231760
1725840000000,54850,58150,54560,57014,8336267550
1725926400000,57014,58040,56350,57620,6754049482
1726012800000,57620,57977,55530,57310,10747570500
1726099200000,57310,58581,57298,58105,7476032190
1726185600000,58105,60624,57579,60466,7579913460
1726272000000,60466,60584,59358,59968,3092291706
1726358400000,59968,60393,58652,59101,3763771584
1726444800000,59101,59182,57450,58185,7324859738
1726531200000,58185,61330,57568,60275,9513305685
1726617600000,60275,61777,59126,61744,10345359900
1726704000000,61744,63856,61524,62923,9254128976
1726790400000,62923,64132,62310,63174,7483054852
1726876800000,63174,63544,62713,63312,2179692522
1726963200000,63312,64000,62350,63550,4596451200
1727049600000,63550,64774,62537,63306,7919156150
1727136000000,63306,64750,62634,64249,7730738802
1727222400000,64249,64876,62900,63130,5845245522
1727308800000,63130,65850,62650,65146,9452076120
1727395200000,65146,66520,64789,65746,7728074542
1727481600000,65746,66320,65310,65823,2547328770
1727568000000,65823,66174,65370,65572,2447364963
1727654400000,65572,65605,62800,63277,10268903060
1727740800000,63277,64097,60119,60790,15961370142
1727827200000,60790,62416,59953,60618,10613022150
1727913600000,60618,61460,59840,60726,9536120670
1728000000000,60726,62469,60414,62064,7943568060
1728086400000,62064,62366,61650,62035,2230890480
1728172800000,62035,62973,61791,62793,3079231295
1728259200000,62793,64464,62055,62191,9755520480
1728345600000,62191,63190,61803,62121,7143444833
1728432000000,62121,62525,60266,60608,7186654248
1728518400000,60608,61288,58900,60296,8572334912
1728604800000,60296,63436,60064,62500,8614610112
1728691200000,62500,63467,62458,63178,3585812500
1728777600000,63178,63270,62012,62839,4559872150
1728864000000,62839,67300,62422,66080,11567591637
1728950400000,66080,67999,64762,67057,15131791360
1729036800000,67057,68525,66727,67595,9755318246
1729123200000,67595,67921,66650,67390,7351970175
1729209600000,67390,69050,67157,68402,8764136890
1729296000000,68402,68685,67980,68370,2239549882
1729382400000,68370,69428,68075,69034,3311911170
1729468800000,69034,69555,66853,67368,8660108198
1729555200000,67368,67847,66561,67410,7647682728
1729641600000,67410,67478,65240,66659,9855274590
1729728000000,66659,68847,66509,68171,8520819993
1729814400000,68171,68755,65524,66667,12541487041
1729900800000,66667,67443,66408,67069,2969148179
1729987200000,67069,68312,66905,68001,3159419383
1730073600000,68001,70450,67571,69948,10060067940
1730160000000,69948,73682,69735,72758,14364451332
1730246400000,72758,73044,71455,72386,8208848592
1730332800000,72386,72736,69719,70332,9969506622
1730419200000,70332,71650,68800,69496,12429915024
1730505600000,69496,69919,68982,69364,3026411808
1730592000000,69364,69383,67456,68744,8680419052
1730678400000,68744,69497,66808,67839,9724388752
1730764800000,67839,70540,67450,69346,9716308614
1730851200000,69346,76434,69257,75600,24724206764
1730937600000,75600,76890,74476,75875,10320004800
1731024000000,75875,77220,75610,76514,7855718125
1731110400000,76514,76950,75704,76702,3866788018
1731196800000,76702,81700,76508,80428,15640841734
1731283200000,80428,89828,80268,88765,24279604640
1731369600000,88765,90077,85150,87968,27937452275
1731456000000,87968,93400,86114,90411,24742055616
1731542400000,90411,91890,86661,87367,17647232679
1731628800000,87367,91948,87084,91125,13790444115
1731715200000,91125,91856,90125,90625,5534112375
1731801600000,90625,91602,88736,89900,7546434375
1731888000000,89900,92758,89424,90535,15507929800
1731974400000,90535,93980,90436,92341,14416340725
1732060800000,92341,94899,91511,94315,12112923016
1732147200000,94315,99111,94032,98383,19369094290
1732233600000,98383,99690,97210,98947,13118487603
1732320000000,98947,98971,97186,97740,5739222841
1732406400000,97740,98653,95800,98028,8813802240
1732492800000,98028,98980,92620,93004,17416438704
1732579200000,93004,95063,90836,92026,16156189860
1732665600000,92026,97276,91858,95909,10900663752
1732752000000,95909,96648,94707,95703,7909423412
1732838400000,95703,98735,95420,97527,8857025541
1732924800000,97527,97540,96151,96484,4107837240
1733011200000,96484,97929,95750,97265,5510973112
1733097600000,97265,98271,94455,95887,13166568520
1733184000000,95887,96389,93605,95920,10197103015
1733270400000,95920,99118,94638,98672,12571275200
1733356800000,98672,104699,90530,96978,27895758464
1733443200000,96978,101999,96320,99790,13113074226
1733529600000,99790,100540,98883,99913,4740723530
1733616000000,99913,101465,98729,101187,5373920618
1733702400000,101187,101296,93888,97329,17749211670
1733788800000,97329,98299,94191,96553,14934064431
1733875200000,96553,101961,95574,101128,11836528823
1733961600000,101128,102636,99300,99982,11864033576
1734048000000,99982,101936,99168,101416,8074946248
1734134400000,101416,102748,100577,101420,5198584160
1734220800000,101420,105338,101243,104516,7826987080
1734307200000,104516,107850,103304,106094,14273645604
1734393600000,106094,108422,105300,106085,10690243628
1734480000000,106085,106470,99800,100149,19506167205
1734566400000,100149,102742,95640,97399,20238810963
1734652800000,97399,98222,92230,97757,18611974910
1734739200000,97757,99483,96327,97250,6808970564
1734825600000,97250,97432,94200,95145,7426399000
1734912000000,95145,96500,92466,94837,11937081990
1734998400000,94837,99436,93509,98628,10049876890
1735084800000,98628,99590,97563,99405,6648020340
1735171200000,99405,99950,95138,95743,10006902540
1735257600000,95743,97500,93380,94251,9935634082
1735344000000,94251,95700,94070,95256,3477390645
1735430400000,95256,95300,92927,93699,4785756696
1735516800000,93699,95000,91464,92739,12036386142
1735603200000,92739,96322,91981,93530,9140448579
1735689600000,93530,95158,92840,94565,4380009900
1735776000000,94565,97845,94340,96960,9080793255
1735862400000,96960,98950,96062,98140,5851439040
1735948800000,98140,98760,97443,98177,3045382340
1736035200000,98177,98828,97216,98340,3872591765
1736121600000,98340,102472,97861,102186,10545588240
1736208000000,102186,102702,96113,96908,14373584946
1736294400000,96908,97224,92378,95022,15150112180
1736380800000,95022,95357,91151,92508,12990457620
1736467200000,92507.7,95873.6,92161.2,94684.2,13169535302.1952
1736553600000,94684.2,94991.9,93800,94569.4,3096410609.8963
1736640000000,94569.4,95439.9,93660,94510,3574041007.985
1736726400000,94510,95954.8,89100,94508.2,17762553481.2648
1736812800000,94508.2,97395.5,94330.3,96523.3,10280128093.4987
1736899200000,96523.3,100700,96450,100465,10364018283.6891
1736985600000,100465,100866.1,97291,99945.8,9779948795.1596
1737072000000,99945.8,105815.8,99906.1,104048.8,12198845476.3119
1737158400000,104048.8,104963,102244,104520,7569954963.3781
1737244800000,104520,106476.5,99600,101310.7,12813280681.6255
1737331200000,101310.7,109951.7,99500.1,102258.7,32254695202.5632
1737417600000,102258.7,107265.6,100000,106133.3,15870585223.7813
1737504000000,106133.3,106387.4,103310,103670.4,8664520016.0427
1737590400000,103670.4,106875,101205.1,103862.4,25370061448.1561
1737676800000,103862.4,107118.6,102691.8,104800.1,8737648636.8546
1737763200000,104800.1,105276.1,104036.9,104709.4,2986905353.8746
1737849600000,104709.4,105591.5,102457.1,102553.7,3485401775.6738
1737936000000,102553.7,103217.8,97694.2,102024.2,16059242520.7183
1738022400000,102024.2,103800,100205.7,101278,9460180773.5938
1738108800000,101278,104777,101265.3,103700,9379349748.4528
1738195200000,103700,106421.1,103235,104684.6,7491051783.0583
1738281600000,104684.6,105998,101468.4,102377.6,9147405477.6418
1738368000000,102377.6,102735,100215.1,100576.5,4867256985.0173
1738454400000,100576.5,101410,95994.3,97645.7,11933819829.6414
1738540800000,97645.7,102457.8,91166.6,101294.8,24569531894.371
1738627200000,101294.8,101684.7,96086.1,97706,14285235601.3147
1738713600000,97706,99170,96100.1,96568.5,8024982830.0478
1738800000000,96568.5,99099,95631.8,96500,7945354787.66
1738886400000,96500,100120,95556.5,96440.6,11851707915.0818
1738972800000,96440.6,96840,95635.8,96406.8,2759961024.3776
1739059200000,96406.8,97275,94651.2,96428.6,4853028635.5676
1739145600000,96428.6,98343.4,95202.8,97384.2,6716941953.9151
1739232000000,97384.2,98459,94821.9,95748.6,7773568164.6249
1739318400000,95748.6,98089.1,94001.2,97828.1,10705957398.844
1739404800000,97828.1,98047,95156.1,96570.7,7764082176.1582
1739491200000,96570.7,98821,96200,97450.1,7475128030.2469
1739577600000,97450.1,97933,97175.8,97533.9,2596881995.4523
1739664000000,97533.9,97678.7,96000,96060.1,3134454833.0903
1739750400000,96060.1,96988.3,95160,95735,5542732333.3354
1739836800000,95735,96730.9,93318.1,95618.8,8863783706.7345
1739923200000,95618.8,96897.1,95008.6,96616.4,6173452144.3024
1740009600000,96616.4,98680.8,96386.5,98246.7,6328230652.9085
1740096000000,98246.7,99454.2,94832.2,96198.4,10980516748.0197
1740182400000,96198.4,97056,95814.8,96554.4,2283270471.1218
1740268800000,96554.4,96637,95254,96262.6,2440904003.4043
1740355200000,96262.6,96536.3,91258.7,91478.2,8402707092.6583
1740441600000,91478.2,92520.9,86055.5,88665.3,16801608037.6205
1740528000000,88665.3,89389.9,82055.6,84208.6,16820632480.9585
1740614400000,84208.6,87043.6,82670,84686,10802138606.0075
1740700800000,84686,85124.4,78210.5,84307.6,19497335163.4641
1740787200000,84307.6,86533.3,83760.9,86024.4,5628737101.3996
1740873600000,86024.4,95058.7,85007.7,94259.7,14677991359.5077
1740960000000,94259.7,94414.2,85023.4,86165.3,18095462411.4597
1741046400000,86165.3,88946,81413.7,87260.1,17706426180.5045
1741132800000,87260.1,90975,86350.8,90567.8,10646927924.6049
1741219200000,90567.8,92781.6,87800.1,89899.6,11710991087.7057
1741305600000,89899.6,91279.5,84594.7,86758.5,20437195743.5557
1741392000000,86758.5,86886.3,85185.9,86187.2,3594721784.6508
1741478400000,86187.2,86485,79913.4,80692.3,9268348780.6102
1741564800000,80692.3,84050,77403.1,78563.2,16265789312.4671
1741651200000,78563.2,83622.9,76545,82889.2,14610577795.563
1741737600000,82889.2,84489.8,80534.6,83649.9,12108909378.8432
1741824000000,83649.9,84343.2,79888,81072.3,9087529695.8083
1741910400000,81072.3,85299.9,80766.6,83948.3,8583411299.4901
1741996800000,83948.3,84661.8,83591.8,84308.4,2659788932.3023
1742083200000,84308.4,85136,81934.4,82528.5,7163603713.6239
1742169600000,82528.5,84728.5,82400.7,83955.1,7118485231.1325
1742256000000,83955.1,83975.1,81093.6,82675.7,6760273516.9941
1742342400000,82675.7,86970,82475.5,86792.3,9465258683.6368
1742428800000,86792.3,87400,83605.8,84168.9,9293087566.4741
1742515200000,84168.9,84800,83136.3,84054.6,5906373037.583
1742601600000,84054.6,84500,83616,83805.9,1758395609.5073
1742688000000,83805.9,86088,83753.2,86037.8,3645598792.6798
1742774400000,86037.8,88740,85488.4,87459.9,9580067463.8075
1742860800000,87459.9,88500,86261,87362.4,7615600776.622
1742947200000,87362.4,88284,85800.1,86860.8,7614341248.2186
1743033600000,86860.8,87727.9,85695.4,87181.7,7191594692.9286
1743120000000,87181.7,87479.4,83545,84375,9335879521.7679
1743206400000,84375,84573.8,81602.9,82603.9,5720518656.0109
1743292800000,82603.9,83496.8,81510,82347.9,4665103340.5636
1743379200000,82347.9,83895.7,81212.3,82504.4,9130295598.8359
1743465600000,82504.4,85555,82375.6,85130.5,8796421681.5462
1743552000000,85130.5,88560.1,82281.9,82468.1,15642498451.4339
1743638400000,82468.1,83888,81146,83175.2,9309236129.5446
1743724800000,83175.2,84736,81605,83862.1,14738610113.3756
1743811200000,83862.1,84244,82343,83496.7,3785703418.1495
1743897600000,83496.7,83774.3,77083.5,78376.1,10949675668.4445
1743984000000,78376.1,81216.8,74456.2,79144.1,22772807455.0007
1744070400000,79144.1,80833.6,76200.9,76286.9,11382480580.0058
1744156800000,76286.9,83560,74565.9,82593.9,21231903821.3761
1744243200000,82593.9,82719.2,78422,79557.5,11230791469.5979
1744329600000,79557.5,84288,78928.2,83382.8,11007327188.56
1744416000000,83382.8,85888,82753.3,85238.4,6058790101.2751
1744502400000,85238.4,86099,82953.1,83716.8,7579301941.8438
1744588800000,83716.8,85771.1,83637.5,84547.4,8414789416.9024
1744675200000,84547.4,86444,83518.5,83603.7,8389568053.4334
1744761600000,83603.7,85522.7,83055,83986,8332079316.1966
1744848000000,83986,85455.8,83677.4,84906.5,5801521093.7781
1744934400000,84906.5,85104.7,84250,84419.6,2203647839.6427
1745020800000,84419.6,85644.6,84324.1,85048.5,3088491489.5716
1745107200000,85048.5,85290,83882.7,85145.5,3409197086.2497
1745193600000,85145.5,88442.9,85106.1,87471.1,11285241653.5547
1745280000000,87471.1,94000,87013.6,93400,13854195281.6149
1745366400000,93400,94722.9,91911.8,93635.2,10648743634.4683
1745452800000,93635.2,93985.8,91631.5,93945.5,7300038279.6585
1745539200000,93945.5,95724.5,92775.6,94596.2,9110674827.5217
1745625600000,94596.2,95150,93839.8,94578.3,2932446509.8276
